iter	Logloss
0	0.1059931731
1	0.02140459495
2	0.01044137066
3	0.005564537231
4	0.004026194019
5	0.003430272765
6	0.002888119828
7	0.002479606769
8	0.002299820311
9	0.002094524407
10	0.001981734444
11	0.001879373729
12	0.001827774512
13	0.001790863745
14	0.001773722128
15	0.00174695812
16	0.001664726274
17	0.001631263682
18	0.0016132457
19	0.001562876959
20	0.001551088514
21	0.001534067713
22	0.00152538265
23	0.001519686712
24	0.001505996499
25	0.001451288704
26	0.001438306028
27	0.001399281884
28	0.001392372518
29	0.001365450353
30	0.001348047144
31	0.001319944674
32	0.001287603112
33	0.001264522862
34	0.001243878359
35	0.001238248418
36	0.001235773837
37	0.001220398519
38	0.001218865942
39	0.001204879851
40	0.001193393925
41	0.001184576417
42	0.001176507837
43	0.001175658705
44	0.001162852993
45	0.001143918738
46	0.00113003427
47	0.001119673163
48	0.001109016502
49	0.001100768254
50	0.001093020931
51	0.001090549985
52	0.001081795326
53	0.001081211907
54	0.001079046119
55	0.001071920899
56	0.001068739867
57	0.001067878962
58	0.001038204748
59	0.001024854672
60	0.001015249177
61	0.001013929628
62	0.001012244252
63	0.001006230918
64	0.0009991476252
65	0.0009977562901
66	0.0009935361786
67	0.00097074952
68	0.0009619451783
69	0.0009522359089
70	0.0009473544146
71	0.0009349387922
72	0.0009342135099
73	0.000928595484
74	0.0009246774331
75	0.0009231008656
76	0.0009172835716
77	0.0009105571563
78	0.0009096022602
79	0.0008995358174
80	0.0008985565866
81	0.0008947593159
82	0.0008917827603
83	0.0008872239997
84	0.0008852447535
85	0.0008810724703
86	0.0008754124024
87	0.0008732443897
88	0.0008687385783
89	0.0008629806854
90	0.0008623734913
91	0.0008542293327
92	0.0008529659843
93	0.0008523719138
94	0.0008521294888
95	0.0008488682292
96	0.0008362640781
97	0.0008346546078
98	0.0008279850285
99	0.0008224994743
100	0.0008206909199
101	0.0008170842867
102	0.0008121697902
103	0.0008105737044
104	0.0008041854865
105	0.0008004859735
106	0.0007989576033
107	0.0007961953512
108	0.0007929156204
109	0.0007927094451
110	0.000792538936
111	0.0007879469174
112	0.0007850443061
113	0.0007845644341
114	0.0007758149187
115	0.0007726371289
116	0.0007706287451
117	0.0007666707066
118	0.000766571637
119	0.0007659153184
120	0.0007644394044
121	0.0007633970516
122	0.0007599651366
123	0.0007551820533
124	0.0007545906677
125	0.0007469946338
126	0.0007469267886
127	0.0007433945651
128	0.0007402171999
129	0.0007387415953
130	0.0007377607611
131	0.0007369260422
132	0.0007334171436
133	0.0007311600412
134	0.0007272623998
135	0.0007253936447
136	0.000724090005
137	0.0007230032865
138	0.0007209344978
139	0.0007179129619
140	0.0007145505148
141	0.0007136845249
142	0.0007115672525
143	0.0007093833018
144	0.0007066399097
145	0.0007038617999
146	0.0007022991522
147	0.0006973899519
148	0.0006965776524
149	0.0006943227297
150	0.0006923032752
151	0.0006919141863
152	0.0006900934016
153	0.0006865923549
154	0.0006834285491
155	0.0006831702796
156	0.0006824486071
157	0.000680858925
158	0.0006806775746
159	0.0006796832595
160	0.0006777211827
161	0.0006772769941
162	0.0006750827766
163	0.0006734836631
164	0.000673263263
165	0.0006711859763
166	0.0006691982438
167	0.0006604300178
168	0.0006591343968
169	0.0006561189524
170	0.000655023378
171	0.000654990069
172	0.0006521994723
173	0.0006498539726
174	0.0006466433999
175	0.0006433781284
176	0.0006405010472
177	0.0006384474183
178	0.0006349972323
179	0.0006344512631
180	0.0006316678611
181	0.0006291291774
182	0.0006265709186
183	0.0006230654861
184	0.0006205085616
185	0.0006191801346
186	0.0006183131985
187	0.0006172360325
188	0.000615453266
189	0.000615357255
190	0.0006142645409
191	0.0006108017523
192	0.0006055692065
193	0.0006046984026
194	0.0006041795079
195	0.0006021012298
196	0.0006009093746
197	0.0006000887719
